0 |[(73, 1), (74, 1), (75, 1), (77, 1), (78, 1), (79, 1), (82, 1), (84, 1), (85, 1), (86, 1), (87, 1), (88, 1), (89, 1), (90, 1)]|
00 |[(86, 1)]|
000 |[(74, 1)]|
00317 |[(75, 1)]|
00349 |[(88, 1)]|
01 |[(81, 1), (84, 1)]|
010 |[(86, 1)]|
01003 |[(84, 1)]|
02 |[(76, 1)]|
04 |[(79, 1), (83, 1)]|
0485 |[(84, 1)]|
05 |[(86, 1)]|
07 |[(76, 1), (81, 1)]|
09 |[(78, 1)]|
0fd |[(79, 1)]|
1 |[(73, 1), (74, 1), (75, 1), (77, 1), (78, 1), (81, 1), (82, 1), (83, 1), (84, 1), (85, 1), (86, 1), (87, 1), (88, 1), (89, 1), (90, 1)]|
10 |[(73, 1), (74, 1), (75, 1), (77, 1), (82, 1), (83, 1), (85, 1), (86, 1), (88, 1), (89, 1), (90, 1)]|
100 |[(74, 1), (84, 1), (85, 1), (86, 1)]|
1000 |[(74, 1), (85, 1)]|
10000 |[(84, 1)]|
100hz |[(86, 1)]|
100m |[(84, 1)]|
100mm |[(84, 1)]|
10203040506070809099 |[(74, 1)]|
11 |[(73, 1), (74, 1), (86, 1), (87, 1)]|
110 |[(87, 1)]|
111 |[(77, 1)]|
112 |[(86, 1)]|
12 |[(73, 1), (76, 1), (78, 1), (86, 1)]|
121 |[(83, 1)]|
1223 |[(79, 1)]|
125 |[(83, 1), (86, 1)]|
127â |[(73, 1)]|
13 |[(79, 1), (85, 1)]|
13736 |[(85, 1)]|
1396 |[(85, 1)]|
14 |[(74, 1), (75, 1), (82, 1), (86, 1), (88, 1), (89, 1), (90, 1)]|
140 |[(84, 1)]|
15 |[(74, 1), (79, 1), (84, 1), (85, 1), (86, 1)]|
150 |[(86, 1)]|
155183 |[(77, 1)]|
1558 |[(81, 1)]|
159156 |[(76, 1)]|
16 |[(75, 1), (77, 1), (82, 1), (85, 1), (86, 1), (88, 1), (89, 1), (90, 1)]|
166 |[(78, 1), (85, 1)]|
168 |[(78, 1)]|
17 |[(79, 1), (86, 1)]|
175 |[(86, 1)]|
18 |[(77, 1), (83, 1), (85, 1), (86, 1)]|
180 |[(77, 1)]|
188 |[(78, 1)]|
19 |[(73, 1), (86, 1)]|
1922 |[(76, 1)]|
1988 |[(77, 1)]|
1994 |[(78, 1)]|
1995 |[(87, 1)]|
1996 |[(74, 1), (77, 1), (87, 1)]|
1997 |[(77, 1), (78, 1), (87, 1)]|
1998 |[(74, 1), (77, 1), (78, 1), (81, 1)]|
1999 |[(77, 1), (81, 1), (84, 1)]|
2 |[(73, 1), (74, 1), (75, 1), (82, 1), (83, 1), (84, 1), (85, 1), (86, 1), (88, 1), (89, 1), (90, 1)]|
20 |[(74, 1)]|
200 |[(85, 1), (86, 1)]|
2000 |[(76, 1), (77, 1)]|
2001 |[(74, 1), (77, 1)]|
2002 |[(77, 1), (87, 1)]|
2003 |[(74, 1), (77, 1), (78, 1), (81, 1)]|
2004 |[(74, 1), (77, 1), (78, 1)]|
2011 |[(76, 1)]|
2012 |[(79, 1)]|
2013 |[(79, 1)]|
2016 |[(85, 1), (86, 1)]|
2018 |[(73, 1), (83, 1)]|
2051 |[(85, 1)]|
2063 |[(85, 1)]|
208 |[(77, 1)]|
21 |[(85, 1), (86, 1)]|
215063 |[(83, 1)]|
22 |[(86, 1)]|
225 |[(86, 1)]|
24 |[(87, 1)]|
25 |[(83, 1), (86, 1), (87, 1)]|
250 |[(86, 1)]|
256 |[(85, 1)]|
26 |[(74, 1), (87, 1)]|
27 |[(74, 1)]|
28 |[(74, 1), (81, 1), (84, 1)]|
29 |[(74, 1), (85, 1)]|
2d |[(85, 1)]|
